epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,12590.1,1.05338,2.2182,1.28103,0.51239,0.47809,0.4407,0.19595,1.98478,5.58221,2.07065,0.000520021,0.000520021,0.000520021
141,12680.6,1.0312,2.21945,1.27403,0.50631,0.59063,0.50951,0.23622,1.92504,4.87247,2.00071,0.000511769,0.000511769,0.000511769
142,12774.5,1.02731,2.23025,1.26944,0.59864,0.48138,0.47677,0.2242,1.98145,5.47412,2.05813,0.000503517,0.000503517,0.000503517
143,12865.5,1.02638,2.19819,1.2792,0.51732,0.50563,0.45243,0.20005,1.97209,5.64878,2.02398,0.000495266,0.000495266,0.000495266
144,12955.8,1.00428,2.10294,1.26832,0.56615,0.49271,0.47961,0.23356,1.92821,5.26784,2.00656,0.000487014,0.000487014,0.000487014
145,13046.7,1.04351,2.22598,1.28608,0.4234,0.49917,0.42633,0.1972,1.95776,6.01593,2.01311,0.000478762,0.000478762,0.000478762
146,13137,1.00036,2.14936,1.27191,0.56269,0.46286,0.4619,0.21359,1.98427,5.57034,2.07869,0.000470511,0.000470511,0.000470511
147,13230.2,1.04207,2.2592,1.28799,0.50319,0.45037,0.43135,0.20362,1.99344,5.79068,2.09234,0.000462259,0.000462259,0.000462259
148,13320.7,0.9949,2.16466,1.25537,0.51777,0.45322,0.44675,0.20959,1.98259,5.77172,2.04466,0.000454007,0.000454007,0.000454007
149,13412.7,1.00118,2.15659,1.26545,0.48667,0.47038,0.44352,0.21175,1.95856,5.66803,1.99818,0.000445756,0.000445756,0.000445756
150,13504,1.04702,2.18523,1.27073,0.49341,0.50568,0.45196,0.21864,1.925,5.55929,1.97555,0.000437504,0.000437504,0.000437504
151,13594.5,0.99614,2.1464,1.2509,0.51157,0.5032,0.45329,0.21971,1.91812,5.38171,1.9899,0.000429253,0.000429253,0.000429253
152,13686.8,1.00429,2.12579,1.25027,0.45344,0.49975,0.43454,0.2103,1.96388,6.05937,2.02368,0.000421001,0.000421001,0.000421001
153,13778.8,0.98925,2.05442,1.23971,0.49556,0.51914,0.44601,0.2094,1.9711,5.68938,2.04547,0.000412749,0.000412749,0.000412749
154,13871,1.00053,2.14,1.2641,0.48711,0.42956,0.40994,0.20139,2.00574,6.08279,2.10337,0.000404498,0.000404498,0.000404498
